id,date,date_end,keywords,ideology
2001992001,1992-02-12,1992-02-12,"solicitors, Law Society",right
2001992002,1992-02-12,1992-02-12,"Students, higher education, government cuts",left
2001992003,1992-02-13,1992-02-13,"British Field Sports Society, Master of Foxhounds Association, Piccadilly Hunt, field sports, fox hunting",right
2001992005,1992-03-01,1992-03-01,"Hampshire, Twyford Down, Friends of the Earth",left
2001992006,1992-03-31,1992-03-31,"Belfast, schoolchildren, Grosvenor High",neither
2001992007,1992-04-06,1992-04-06,"PARENTS, education, schools, educational",left
2001992008,1992-05-31,1992-05-31,"Bomber Harris, RAF, St Clement Danes",left
2001992009,1992-07-07,1992-07-07,"fishermen, Sea Fish Conservation Bill",right
2001992010,1992-07-16,1992-07-17,"Bristol, Hartcliffe estate",left
2001992012,1992-08-21,1992-08-21,"Middlesex, nurses, Hospital, patients, Nupe, health union, Cohse, Nalgo",left
2001992013,1992-08-24,1992-08-24,"anti fascists, anti fascists, antifascist, Bethnal Green, British National Party",left
2001992015,1992-10-18,1992-10-18,"Cheltenham, miner, miners, pit closures",left
2001992016,1992-10-21,1992-10-25,"coal miner, coal miners, coal mines, miners",left
2001992019,1992-11-15,1992-11-15,"Whitburn, 636 mile, Bathgate, Glasgow to London",left
2001992020,1992-12-11,1992-12-11,"soldiers, former servicemen, battalions, defence cuts",right
2001992021,1992-12-11,1992-12-11,"fishermen, Sea Fish Conservation Bill, Sea Conservation Bill, fisheries policy, trawlermen, trawlers",right
2001993001,1993-01-17,1993-01-17,"British Referendum, Maastricht, Euro sceptics, Trafalgar Square",right
2001993002,1993-03-09,1993-03-09,"Peterhead harbour, Grimsby, Humberside, fishermen, fish prices, trawlermen, dock workers",left
2001993004,1993-03-22,1993-03-22,"Teesport, fishermen, trawlers",right
2001993005,1993-03-27,1993-03-27,"fishermen, fishing boats, fishing vessels, trawlermen",right
2001993006,1993-03-30,1993-03-30,"Trades Union Congress, miners, Trotskyist Trade Union, coal",left
2001993008,1993-04-14,1993-04-14,"Liverpool, fishing boats, docks",right
2001993009,1993-04-19,1993-04-19,"Stornoway, council tax",left
2001993010,1993-04-25,1993-04-25,"British National Party, BNP, extreme right",right
2001993011,1993-05-17,1993-05-17,"Dundee, Arthur Scargill, Union of Mineworkers",left
2001993012,1993-05-23,1993-05-23,"Twyford Down, M3, Dongas, chained, construction",left
2001993014,1993-05-29,1993-05-31,"Kyle of Lochalsh, fishermen, fishing vessels",right
